epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.462,0,114.147,0,0,0,0,0,0,196.019,0,0.00035007,0.00035007,0.00035007
2,372.96,0,93.5815,0,0,0,0,0,0,124.475,0,0.000709714,0.000709714,0.000709714
3,563.277,0,82.3546,0,0,0,0,0,0,112.454,0,0.0010621,0.0010621,0.0010621
4,729.499,0,73.0028,0,0,0,0,0,0,84.0648,0,0.00140722,0.00140722,0.00140722
5,903.495,0,64.4767,0,0,0,0,0,0,353631,0,0.00160099,0.00160099,0.00160099
6,1096.1,0,56.9928,0,0,0,0,0,0,27415.4,0,0.00158448,0.00158448,0.00158448
7,1286.91,0,49.352,0,0,0,0,0,0,2457.73,0,0.00156798,0.00156798,0.00156798
8,1450.07,0,42.9001,0,0,0,0,0,0,26.7369,0,0.00155148,0.00155148,0.00155148
9,1616.82,0,37.0654,0,0,0,0,0,0,45.292,0,0.00153497,0.00153497,0.00153497
10,1776.27,0,31.1151,0,0,0,0,0,0,47.0231,0,0.00151847,0.00151847,0.00151847
11,1936.04,0,26.1128,0,0,0,0,0,0,37.5045,0,0.00150197,0.00150197,0.00150197
12,2079.46,0,21.7228,0,0,0,0,0,0,32.1016,0,0.00148546,0.00148546,0.00148546
13,2223.26,0,17.6896,0,0,0,0,0,0,27.2136,0,0.00146896,0.00146896,0.00146896
14,2364.5,0,14.3417,0,0,0,0,0,0,20.9467,0,0.00145246,0.00145246,0.00145246
15,2509.44,0,11.6025,0,0,0,0,0,0,16.1296,0,0.00143595,0.00143595,0.00143595
16,2655.8,0,9.39991,0,0,0,0,0,0,12.1951,0,0.00141945,0.00141945,0.00141945
17,2806.1,0,7.50601,0,0,0,0,0,0,9.70634,0,0.00140295,0.00140295,0.00140295
18,2961.52,0,6.09791,0,0,0,0,0,0,8.40614,0,0.00138644,0.00138644,0.00138644
19,3113.7,0,4.81379,0,0,0,0,0,0,6.17475,0,0.00136994,0.00136994,0.00136994
20,3278.47,0,3.83882,0,0,0,0,0,0,5.01697,0,0.00135344,0.00135344,0.00135344
21,3473.02,0,3.034,0,0,0,0,0,0,4.05206,0,0.00133693,0.00133693,0.00133693
